totalTimeinminsoFar, realtimeSinceStartup, Total Time Stopped, Total Distance Travelled, Avg Speed, Speed Limit, Total Serious Collision Count,Total Vehicle-Vehicle Collision Count,Total Non-Vehicle Collision Count, Non-Collision Destroyed, No. Of Stops Passed Through, Avg Time in speed0-5mph,Avg Time in speed5-10mph,Avg Time in speed10-15mph,Avg Time in speed15-20mph, Avg Time in speed20-25mph, Avg Time in speed25-30mph, Avg Time in speed30-35mph
2.098333,135.7626, 1.46819,188.4162, 0.01253959, 22.24452, 0,0,0,1,0,1.515605, 0.06106266, 0.09780802,0.07863774, 0.3455095, 0, 0
2.115667,136.8016, 1.77629,100.8877, 0.00630212, 30.25539, 0,0,0,1,0,1.803213, 0.03524764, 0.04312443,0.05612545, 0.1558822, 0.02236905, 0
2.132667,137.8267, 1.766447,126.5231, 0.008107151, 26.01187, 0,0,0,1,0,1.782423, 0.02347725, 0.02624291,0.01931864, 0.2512764, 0.03018698, 0
2.178333,140.5628, 1.000349,464.9258, 0.03009969, 26.80913, 0,0,0,1,0,1.008693, 0.01189093, 0.0146415,0.01989871, 0.7750378, 0.3484598, 0
2.204333,142.1276, 1.611234,204.9075, 0.01298791, 24.60267, 0,1,0,1,0,1.635241, 0.03235165, 0.04316865,0.05768027, 0.3876429, 0.04852817, 0
2.248667,144.7822, 1.74921,164.1359, 0.01021412, 26.14364, 0,0,0,1,0,1.77228, 0.03721469, 0.05457428,0.06594948, 0.2537783, 0.06499479, 0
2.271,146.1185, 1.643839,194.7633, 0.01197023, 22.75054, 0,0,1,1,0,1.689529, 0.06043448, 0.08573326,0.08299822, 0.3200344, 0.03252621, 0
2.299,147.8011, 1.873944,141.5462, 0.008465649, 24.4578, 0,4,0,1,0,1.902457, 0.02957344, 0.0355638,0.04769544, 0.2269495, 0.05706165, 0
2.390667,153.3008, 1.858434,181.5825, 0.01054244, 26.2374, 0,0,0,1,0,1.88492, 0.03370117, 0.04259543,0.04930813, 0.3241657, 0.05627094, 0
2.522,161.1847, 1.26237,476.6219, 0.02684756, 24.13968, 0,0,0,1,0,1.279835, 0.02475608, 0.02877849,0.04522425, 0.9681857, 0.175491, 0
2.55,162.8589, 1.254436,460.024, 0.02559624, 30.18257, 0,0,0,1,0,1.298554, 0.06061416, 0.0790794,0.1142389, 0.8204531, 0.1772435, 0
